scale0_kurtosis,scale0_mean,scale0_skewness,scale0_std,scale1_kurtosis,scale1_mean,scale1_skewness,scale1_std,scale2_kurtosis,scale2_mean,scale2_skewness,scale2_std,scale3_kurtosis,scale3_mean,scale3_skewness,scale3_std,scale4_mean,scale4_std,scale5_mean,scale5_std,scale6_mean,scale6_std,scale7_mean,scale7_std,scale8_mean,signal_mean,label
-0.796163619,0.492930263,0.347287089,0.581402123,0.380897343,0.818959713,0.76230377,0.98536253,0.324980289,1,1,1,-1,0.720092654,0.876811922,0.851421952,0.797905505,0.961478472,0.789111674,0.993544102,0.24776049,0.253203362,0.161536917,0.153444737,0.161463946,0.000175058842,1
-0.445123017,0.399954259,0.128040016,0.428861827,0.149635777,0.645643711,0.0160534475,0.722786963,-0.38552019,1,1,0.998175323,-1,0.691195965,0.722058356,0.706415713,0.615110934,0.681967199,0.981230259,1,0.38334325,0.393304884,0.182584032,0.160528973,0.0948822349,3.43024731E-05,1
-0.507255018,0.422328562,0.39259848,0.414747387,-0.527556539,0.759318948,0.587796748,0.751739502,-0.256444097,1,1,1,-1,0.27089563,0.73292762,0.241365939,0.352839351,0.340123892,0.211711377,0.184987888,0.19551231,0.155496567,0.0478191301,0.0368354581,0.00140058063,0.000226974487,2
-0.182918772,0.39042747,0.0403396077,0.395302564,-0.116263606,0.709552228,0.108383626,0.720055342,-0.233125195,1,1,1,-1,0.355616659,0.808558464,0.331353635,0.33021161,0.274788648,0.188038856,0.212317973,0.0763188154,0.0684660375,0.0399080589,0.0316715874,0.0123577528,0.000470817089,2
-0.511272788,0.382873505,0.0462987125,0.406722724,-0.586470425,0.704455793,0.0600059144,0.743338883,-1,1,0.32870698,1,-0.447003245,0.564891696,1,0.584386349,0.588853657,0.575238764,0.452510685,0.452151,0.179942057,0.138630122,0.0134639265,9.36228025E-05,0.107145816,0.000134348869,2
-0.881571651,0.373432219,0.0705706179,0.375525177,-1,0.687084615,0.0477537401,0.6919204,-0.907455921,1,0.263608485,1,-0.489699304,0.558605909,1,0.569451332,0.525546253,0.496335626,0.353200585,0.342979401,0.352753371,0.114310309,0.0363432355,0.0304009374,0.0220245719,7.7933073E-05,2
-0.570063174,0.355665743,0.129370674,0.349006206,-0.595919907,0.643981755,0.865276158,0.645238042,-0.418617398,1,1,1,-1,0.629394412,0.414025724,0.623186767,0.485406786,0.453640699,0.573324502,0.551567078,0.230001882,0.183940709,0.172187105,0.1372554,0.0420877002,2.31266022E-05,2
-0.780426681,0.347249597,0.263083041,0.34408772,-0.80410558,0.647938609,0.0976724029,0.647918344,-1,1,0.311071306,1,-0.835764706,0.730817556,1,0.721455276,0.459252119,0.405022353,0.355466038,0.334669083,0.201706022,0.127710193,0.0312386323,0.0129195424,0.0426353626,0.000264316797,2
-0.981964052,0.331703573,0.535716057,0.332842916,-0.997426987,0.628300488,0.557589412,0.631973684,-1,1,0.00175527192,1,-0.878323913,0.779074013,1,0.794741333,0.188508794,0.213939592,0.274346501,0.222395182,0.15438278,0.160256863,0.0365300551,0.00176430657,0.0189900473,0.000759571791,2
-0.72558111,0.326107115,0.156281337,0.321094304,-0.686277568,0.61940974,0.0547873564,0.610792518,-0.653878033,1,0.660621524,1,-1,0.846860588,1,0.816577554,0.162983701,0.166513428,0.201322168,0.179862171,0.186940297,0.0766669512,0.00479724957,0.00382411876,0.0183266513,0.000313073397,2
-0.983858168,0.31570074,0.17118077,0.315012693,-0.993080497,0.604561925,0.188669503,0.602016628,-1,1,0.496408105,1,-0.862338901,0.873075783,1,0.867696583,0.151315928,0.150713667,0.190377891,0.173253044,0.125838965,0.110620521,0.0713181496,0.0170131344,0.0275100153,0.000276386738,2
-0.644042552,0.275544703,0.0691352189,0.296372265,-0.576508999,0.525108755,0.0613696538,0.567742765,-1,1,0.294977874,1,-0.328044444,0.749926269,1,0.85174644,0.19994694,0.208705217,0.205581158,0.216320857,0.142435253,0.13819395,0.0482592024,0.0407844745,0.0538236126,0.000221580267,2
0.572938323,0.309423774,0.10179624,0.329427332,0.55126828,0.5930323,0.191423371,0.627442062,1,0.863833845,0.249174878,0.93374294,-0.137071371,1,1,1,0.554342985,0.458896577,0.548566818,0.524406374,0.299094528,0.154281288,0.213454068,0.0479525626,0.163054585,0.000326424837,1
-1,0.238797858,0.191021889,0.27096051,-0.641674042,0.451157629,0.7700966,0.509823382,-0.860663652,0.725652099,0.0871099755,0.796311319,0.0808327645,0.555297673,1,0.659695625,0.565850973,0.680663526,1,1,0.49567914,0.171318486,0.179521322,0.100692935,0.16184707,6.58333302E-05,1
0.304130167,0.316189677,0.216258422,0.310405016,0.495092541,0.595079005,0.442136645,0.579246938,0.0993362591,0.982537389,0.224931598,0.935840309,-1,0.676121294,1,0.659932494,0.793319106,0.694928825,1,1,0.374387026,0.105433136,0.0971208885,0.0405886732,0.116599746,0.000277161598,1
-0.429112166,0.247578964,0.0719877854,0.270173073,-0.267838866,0.451797903,0.173980609,0.502319992,-1,0.733064532,0.628265679,0.778758943,-0.55096674,0.623381555,1,0.690528929,1,1,0.851781368,0.882996619,0.392770559,0.360063255,0.163531229,0.0808061734,0.100022465,0.000289916992,1
0.362935692,0.430271864,0.252164602,0.428955287,0.422273159,0.731500208,1,0.699910223,0.497448832,1,0.255433142,1,-1,0.432304472,0.109042414,0.340433627,0.279101759,0.26117605,0.180237249,0.147399917,0.0489835963,0.0260763206,0.0103327669,0.00770525355,0.0153577263,0.00012037158,2
